Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Transmission A/M
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,M6,premium gasoline,10.8,7.5,9.3,30.0,214.0,M
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AS8,premium gasoline,11.5,8.1,10.0,28.0,230.0,A
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,AS8,premium gasoline,11.5,8.1,10.0,28.0,230.0,A
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,premium gasoline,10.8,7.5,9.3,30.0,214.0,M
AUDI,A6 QUATTRO,MID-SIZE,2.0,4.0,AS8,premium gasoline,12.0,8.1,10.2,28.0,235.0,A
AUDI,A6 QUATTRO,MID-SIZE,3.0,6.0,AS8,premium gasoline,12.8,8.6,10.9,26.0,251.0,A
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,diesel,9.8,6.2,8.1,35.0,217.0,A
AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AS8,premium gasoline,13.3,8.5,11.2,25.0,262.0,A
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,diesel,9.8,6.2,8.1,35.0,217.0,A
AUDI,A8,MID-SIZE,3.0,6.0,AS8,premium gasoline,13.1,8.8,11.2,25.0,258.0,A
AUDI,A8,MID-SIZE,4.0,8.0,AS8,premium gasoline,13.7,8.3,11.3,25.0,265.0,A
AUDI,A8 TDI (modified),MID-SIZE,3.0,6.0,AS8,diesel,9.8,6.5,8.4,34.0,224.0,A
AUDI,A8L,FULL-SIZE,3.0,6.0,AS8,premium gasoline,13.1,8.8,11.2,25.0,258.0,A
AUDI,A8L,FULL-SIZE,4.0,8.0,AS8,premium gasoline,14.7,9.7,12.5,23.0,288.0,A
AUDI,A8L,FULL-SIZE,6.3,12.0,AS8,premium gasoline,18.7,11.5,15.5,18.0,363.0,A
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6.0,AS8,diesel,9.8,6.5,8.4,34.0,224.0,A
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4.0,AS8,premium gasoline,11.8,8.8,10.5,27.0,242.0,A
AUDI,Q5,SUV - SMALL,2.0,4.0,AS8,premium gasoline,12.0,8.5,10.4,27.0,239.0,A
AUDI,Q5,SUV - SMALL,3.0,6.0,AS8,premium gasoline,12.9,9.2,11.2,25.0,258.0,A
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6.0,AS8,diesel,10.2,7.8,9.0,31.0,244.0,A
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4.0,AS8,premium gasoline,9.9,8.3,9.2,31.0,212.0,A
AUDI,Q7,SUV - STANDARD,3.0,6.0,AS8,premium gasoline,15.1,10.9,13.2,21.0,304.0,A
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6.0,AS8,diesel,12.4,8.7,10.7,26.0,290.0,A
AUDI,R8,TWO-SEATER,4.2,8.0,A7,premium gasoline,17.6,11.0,14.6,19.0,336.0,A
AUDI,R8,TWO-SEATER,4.2,8.0,M6,premium gasoline,21.2,13.4,17.7,16.0,407.0,M
AUDI,R8,TWO-SEATER,5.2,10.0,A7,premium gasoline,18.2,10.6,14.8,19.0,347.0,A
AUDI,R8,TWO-SEATER,5.2,10.0,M6,premium gasoline,21.1,13.8,17.8,16.0,409.0,M
AUDI,R8 SPYDER,TWO-SEATER,4.2,8.0,A7,premium gasoline,17.6,11.0,14.6,19.0,336.0,A
AUDI,R8 SPYDER,TWO-SEATER,4.2,8.0,M6,premium gasoline,21.2,13.4,17.7,16.0,407.0,M
AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,A7,premium gasoline,18.2,10.6,14.8,19.0,347.0,A
AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,M6,premium gasoline,21.1,13.8,17.8,16.0,409.0,M
AUDI,RS 5,SUBCOMPACT,4.2,8.0,A7,premium gasoline,15.3,,13.3,21.0,306.0,A
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8.0,A7,premium gasoline,15.2,11.3,13.4,21.0,308.0,A
AUDI,S4,COMPACT,3.0,6.0,A7,premium gasoline,13.2,9.2,11.4,25.0,262.0,A
AUDI,S4,COMPACT,3.0,6.0,M6,premium gasoline,14.6,9.8,12.4,23.0,285.0,M
AUDI,S5,SUBCOMPACT,3.0,6.0,A7,premium gasoline,13.2,9.2,11.4,25.0,262.0,A
AUDI,S5,SUBCOMPACT,3.0,6.0,M6,premium gasoline,14.6,9.8,12.4,23.0,285.0,M
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6.0,A7,premium gasoline,13.3,9.5,11.6,24.0,267.0,A
AUDI,S6,MID-SIZE,4.0,8.0,A7,premium gasoline,14.2,9.7,12.2,23.0,281.0,A
AUDI,S7,MID-SIZE,4.0,8.0,A7,premium gasoline,14.2,9.7,12.2,23.0,281.0,A
AUDI,S8,MID-SIZE,4.0,8.0,AS8,premium gasoline,15.8,9.2,12.8,22.0,300.0,A
AUDI,SQ5,SUV - SMALL,3.0,6.0,AS8,premium gasoline,14.9,10.1,12.7,22.0,292.0,A
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,A6,premium gasoline,10.4,7.6,9.1,31.0,209.0,A
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,A6,premium gasoline,10.4,7.6,9.1,31.0,209.0,A
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4.0,A6,premium gasoline,11.5,8.8,10.3,27.0,237.0,A
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,A6,premium gasoline,11.5,8.8,10.3,27.0,237.0,A
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8.0,AS8,premium gasoline,16.3,9.8,13.4,21.0,314.0,A
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12.0,AS8,premium gasoline,18.8,11.5,15.5,18.0,356.0,A
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8.0,AS8,premium gasoline,17.4,10.2,14.2,20.0,332.0,A
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12.0,AS8,premium gasoline,20.0,12.2,16.5,17.0,380.0,A
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12.0,AS8,premium gasoline,20.0,12.2,16.5,17.0,380.0,A
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AS8,premium gasoline,20.3,11.9,16.5,17.0,388.0,A
BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,premium gasoline,22.3,14.9,19.0,15.0,437.0,A
BMW,320i,COMPACT,2.0,4.0,A8,premium gasoline,10.0,6.5,8.4,34.0,193.0,A
BMW,320i,COMPACT,2.0,4.0,M6,premium gasoline,10.4,6.7,8.7,32.0,200.0,M
BMW,320i xDRIVE,COMPACT,2.0,4.0,A8,premium gasoline,10.2,7.0,8.8,32.0,202.0,A
BMW,328d xDRIVE,COMPACT,2.0,4.0,A8,diesel,7.6,5.5,6.7,42.0,181.0,A
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,A8,diesel,7.6,5.5,6.7,42.0,181.0,A
BMW,328i,COMPACT,2.0,4.0,A8,premium gasoline,10.0,6.5,8.4,34.0,193.0,A
BMW,328i,COMPACT,2.0,4.0,M6,premium gasoline,10.4,6.7,8.7,32.0,200.0,M
BMW,328i xDRIVE,COMPACT,2.0,4.0,A8,premium gasoline,10.6,7.2,9.1,31.0,209.0,A
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,A8,premium gasoline,10.6,7.2,9.1,31.0,209.0,A
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,A8,premium gasoline,10.6,7.2,9.1,31.0,209.0,A
BMW,335i,COMPACT,3.0,6.0,A8,premium gasoline,11.4,7.3,9.6,29.0,221.0,A
BMW,335i,COMPACT,3.0,6.0,M6,premium gasoline,11.8,7.9,10.0,28.0,230.0,M
BMW,335i xDRIVE,COMPACT,3.0,6.0,A8,premium gasoline,11.7,7.8,9.9,29.0,228.0,A
BMW,335i xDRIVE,COMPACT,3.0,6.0,M6,premium gasoline,11.9,8.3,10.3,27.0,237.0,M
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6.0,A8,premium gasoline,11.9,8.0,10.1,28.0,232.0,A
BMW,428i COUPE,COMPACT,2.0,4.0,A8,premium gasoline,,6.5,8.4,34.0,193.0,A
BMW,428i COUPE,COMPACT,2.0,4.0,M6,premium gasoline,10.4,6.7,8.7,32.0,200.0,M
BMW,435i COUPE,COMPACT,3.0,6.0,A8,premium gasoline,11.4,7.3,9.6,29.0,221.0,A
BMW,435i COUPE,COMPACT,3.0,6.0,M6,premium gasoline,11.8,7.9,10.0,28.0,230.0,M
BMW,435i xDRIVE COUPE,COMPACT,3.0,6.0,A8,premium gasoline,11.7,7.8,9.9,29.0,228.0,A
BMW,435i xDRIVE COUPE,COMPACT,3.0,6.0,M6,premium gasoline,11.9,8.3,10.3,27.0,237.0,M
BMW,528i,MID-SIZE,2.0,4.0,A8,premium gasoline,10.2,7.0,8.8,32.0,202.0,A
BMW,528i xDRIVE,MID-SIZE,2.0,4.0,A8,premium gasoline,10.6,7.2,9.1,31.0,209.0,A
BMW,535d xDRIVE,MID-SIZE,3.0,6.0,A8,diesel,9.2,6.4,7.9,36.0,213.0,A
BMW,535i xDRIVE,MID-SIZE,3.0,6.0,A8,premium gasoline,11.9,8.0,10.1,28.0,232.0,A
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6.0,A8,premium gasoline,12.5,8.6,10.7,26.0,246.0,A
BMW,550i xDRIVE,MID-SIZE,4.4,8.0,A8,premium gasoline,14.4,9.6,12.2,23.0,281.0,A
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8.0,A8,premium gasoline,15.0,9.8,12.7,22.0,292.0,A
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6.0,A8,premium gasoline,11.9,8.0,10.1,28.0,232.0,A
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8.0,A8,premium gasoline,15.0,9.8,12.7,22.0,292.0,A
BMW,650i xDRIVE COUPE,COMPACT,4.4,8.0,A8,premium gasoline,14.4,9.6,12.2,23.0,281.0,A
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8.0,A8,premium gasoline,15.0,9.8,12.7,22.0,292.0,A
BMW,740Li xDRIVE,FULL-SIZE,3.0,6.0,A8,premium gasoline,12.5,8.6,10.7,26.0,246.0,A
BMW,750i xDRIVE,FULL-SIZE,4.4,8.0,A8,premium gasoline,15.0,9.8,12.7,22.0,292.0,A
BMW,750Li xDRIVE,FULL-SIZE,4.4,8.0,A8,premium gasoline,15.0,9.8,12.7,22.0,292.0,A
BMW,760Li,FULL-SIZE,6.0,12.0,A8,premium gasoline,18.7,11.5,15.5,18.0,356.0,A
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6.0,A8,premium gasoline,9.2,7.1,8.3,34.0,191.0,A
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6.0,A8,premium gasoline,10.5,7.9,9.3,30.0,214.0,A
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6.0,A8,premium gasoline,10.5,7.6,9.2,31.0,212.0,A
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8.0,A8,premium gasoline,15.0,9.8,12.7,22.0,292.0,A
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8.0,A8,premium gasoline,15.0,9.8,12.7,22.0,292.0,A
BMW,M5,MID-SIZE,4.4,8.0,AM7,premium gasoline,17.3,11.5,14.7,19.0,338.0,A
BMW,M5,MID-SIZE,4.4,8.0,M6,premium gasoline,16.2,10.9,13.8,20.0,317.0,M
BMW,M6,COMPACT,4.4,8.0,AM7,premium gasoline,17.3,11.5,14.7,19.0,338.0,A
BMW,M6,COMPACT,4.4,8.0,M6,premium gasoline,16.2,10.9,13.8,20.0,317.0,M
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,AM7,premium gasoline,17.3,11.5,14.7,19.0,338.0,A
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,M6,premium gasoline,16.2,10.9,13.8,20.0,317.0,M
BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,AM7,premium gasoline,17.3,11.5,14.7,19.0,338.0,A
BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,M6,premium gasoline,16.2,10.9,13.8,20.0,317.0,M
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4.0,A8,premium gasoline,10.6,7.2,9.1,31.0,209.0,A
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6.0,A6,premium gasoline,13.2,8.9,11.3,25.0,260.0,A
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4.0,A8,premium gasoline,11.2,8.5,10.0,28.0,230.0,A
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6.0,?,premium gasoline,12.6,9.1,11.0,26.0,253.0,A
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6.0,A8,premium gasoline,12.9,8.8,11.1,25.0,255.0,A
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8.0,A8,premium gasoline,16.3,10.9,13.9,20.0,320.0,A
BMW,X6 M,SUV - STANDARD,4.4,8.0,A6,premium gasoline,18.1,13.7,16.1,18.0,370.0,A
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6.0,A8,premium gasoline,13.6,9.8,11.9,24.0,274.0,A
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8.0,A8,premium gasoline,16.4,11.3,14.1,20.0,324.0,A
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4.0,A8,premium gasoline,10.8,7.1,9.1,31.0,209.0,A
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4.0,M6,premium gasoline,10.4,6.7,8.7,32.0,200.0,M
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6.0,AM7,premium gasoline,13.7,10.1,12.1,23.0,278.0,A
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6.0,M6,premium gasoline,12.7,9.0,11.0,26.0,253.0,M
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6.0,AM7,premium gasoline,13.7,10.1,12.1,23.0,278.0,A
BUICK,ENCLAVE,SUV - STANDARD,3.6,6.0,A6,regular gasoline,14.3,9.9,12.3,23.0,283.0,A
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6.0,A6,regular gasoline,14.6,10.2,12.6,22.0,290.0,A
BUICK,ENCORE,SUV - SMALL,1.4,4.0,AS6,regular gasoline,9.5,7.2,8.5,33.0,196.0,A
BUICK,ENCORE AWD,SUV - SMALL,1.4,4.0,AS6,regular gasoline,10.2,8.0,9.2,31.0,212.0,A
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,regular gasoline,13.7,8.7,11.5,25.0,264.0,A
BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,ethanol,18.4,12.2,15.6,18.0,250.0,A
BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,regular gasoline,13.7,8.9,11.5,25.0,264.0,A
BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,ethanol,19.4,13.0,16.5,17.0,264.0,A
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4.0,AS6,regular gasoline,9.6,6.5,8.2,34.0,189.0,A
BUICK,REGAL,MID-SIZE,2.0,4.0,AS6,premium gasoline,11.5,7.9,9.9,29.0,228.0,A
BUICK,REGAL,MID-SIZE,2.0,4.0,M6,premium gasoline,11.6,7.5,9.8,29.0,225.0,M
BUICK,REGAL AWD,MID-SIZE,2.0,4.0,AS6,premium gasoline,12.3,8.7,10.7,26.0,246.0,A
BUICK,REGAL eASSIST,MID-SIZE,2.4,4.0,AS6,regular gasoline,9.6,6.5,8.2,34.0,189.0,A
BUICK,VERANO,COMPACT,2.0,4.0,AS6,premium gasoline,11.5,7.9,9.9,29.0,228.0,A
BUICK,VERANO,COMPACT,2.0,4.0,M6,premium gasoline,11.6,7.5,9.8,29.0,225.0,M
BUICK,VERANO,COMPACT,2.4,4.0,AS6,regular gasoline,11.3,7.4,9.5,30.0,218.0,A
CADILLAC,ATS,COMPACT,2.0,4.0,AS6,premium gasoline,11.3,7.5,9.6,29.0,221.0,A
CADILLAC,ATS,COMPACT,2.0,4.0,M6,premium gasoline,12.1,7.9,10.2,28.0,235.0,M
CADILLAC,ATS,COMPACT,3.6,6.0,AS6,regular gasoline,12.8,8.5,10.9,26.0,251.0,A
CADILLAC,ATS AWD,COMPACT,2.0,4.0,AS6,premium gasoline,11.8,8.1,10.1,28.0,232.0,A
CADILLAC,ATS AWD,COMPACT,3.6,6.0,AS6,regular gasoline,13.1,9.0,11.3,25.0,260.0,A
CADILLAC,CTS COUPE,MID-SIZE,3.6,6.0,AS6,regular gasoline,13.2,8.7,11.2,25.0,258.0,A
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6.0,AS6,regular gasoline,13.3,9.0,11.4,25.0,262.0,A
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4.0,AS6,premium gasoline,11.9,7.9,10.1,28.0,232.0,A
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6.0,AS8,regular gasoline,12.9,8.2,10.8,26.0,248.0,A
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4.0,AS6,premium gasoline,12.6,8.5,10.8,26.0,248.0,A
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6.0,AS6,regular gasoline,13.1,9.0,11.3,25.0,260.0,A
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6.0,AS8,premium gasoline,15.1,9.9,12.8,22.0,294.0,A
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6.0,AS6,regular gasoline,12.7,8.9,11.0,26.0,253.0,A
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6.0,AS6,regular gasoline,13.3,8.9,11.3,25.0,260.0,A
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6.0,AS6,regular gasoline,12.8,9.1,11.1,25.0,255.0,A
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6.0,AS6,regular gasoline,13.3,9.0,11.4,25.0,262.0,A
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8.0,AS6,premium gasoline,19.7,12.9,16.6,17.0,382.0,A
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8.0,M6,premium gasoline,16.7,12.5,14.8,19.0,340.0,M
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8.0,AS6,premium gasoline,19.7,12.9,16.6,17.0,382.0,A
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8.0,M6,premium gasoline,16.7,12.5,14.8,19.0,340.0,M
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8.0,AS6,premium gasoline,19.7,12.9,16.6,17.0,382.0,A
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8.0,M6,premium gasoline,16.7,12.5,14.8,19.0,340.0,M
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8.0,A6,premium gasoline,17.0,11.8,14.7,19.0,338.0,A
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8.0,A6,ethanol,23.3,16.1,20.1,14.0,322.0,A
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8.0,A6,premium gasoline,18.8,13.4,16.4,17.0,377.0,A
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8.0,A6,ethanol,25.7,17.8,22.1,13.0,354.0,A
CADILLAC,SRX,SUV - STANDARD,3.6,6.0,AS6,regular gasoline,14.3,9.8,12.3,23.0,283.0,A
CADILLAC,SRX AWD,SUV - STANDARD,?,6.0,AS6,regular gasoline,14.8,10.4,12.8,22.0,294.0,A
CADILLAC,XTS,FULL-SIZE,3.6,6.0,AS6,regular gasoline,13.6,8.6,11.4,25.0,262.0,A
CADILLAC,XTS AWD,FULL-SIZE,3.6,6.0,AS6,regular gasoline,14.0,9.1,11.8,24.0,271.0,A
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6.0,AS6,premium gasoline,14.8,9.8,12.6,22.0,290.0,A
CHEVROLET,CAMARO,COMPACT,3.6,6.0,AS6,regular gasoline,13.2,8.7,11.2,25.0,258.0,A
CHEVROLET,CAMARO,COMPACT,3.6,6.0,M6,regular gasoline,14.2,8.6,11.7,24.0,269.0,M
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6.0,AS6,regular gasoline,12.7,7.9,10.5,27.0,242.0,A
CHEVROLET,CAMARO SS,COMPACT,6.2,8.0,AS6,premium gasoline,15.3,9.8,12.8,22.0,294.0,A
CHEVROLET,CAMARO SS,COMPACT,6.2,8.0,M6,premium gasoline,15.0,9.9,12.7,22.0,292.0,M
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8.0,AS6,premium gasoline,19.7,12.9,16.6,17.0,382.0,A
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8.0,M6,premium gasoline,16.7,12.5,14.8,19.0,340.0,M
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,AS6,premium gasoline,14.9,8.5,12.0,24.0,276.0,A
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,M7,premium gasoline,13.7,8.2,11.2,25.0,258.0,M
CHEVROLET,CRUZE,MID-SIZE,1.4,4.0,AS6,regular gasoline,9.1,6.3,7.8,36.0,179.0,A
CHEVROLET,CRUZE,MID-SIZE,1.4,4.0,M6,regular gasoline,9.1,6.3,7.8,36.0,179.0,M
CHEVROLET,CRUZE,MID-SIZE,1.8,4.0,AS6,regular gasoline,10.5,6.7,8.8,32.0,202.0,A
CHEVROLET,CRUZE,MID-SIZE,1.8,4.0,M6,regular gasoline,9.5,6.5,8.2,34.0,189.0,M
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4.0,AS6,diesel,8.7,5.1,7.1,40.0,192.0,A
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4.0,A6,regular gasoline,9.1,6.0,7.7,37.0,177.0,A
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4.0,M6,regular gasoline,8.4,5.6,7.1,40.0,163.0,M
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4.0,A6,regular gasoline,10.5,7.3,9.1,31.0,209.0,A
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6.0,A6,regular gasoline,13.9,9.6,12.0,24.0,276.0,A
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6.0,A6,ethanol,18.8,13.1,16.2,17.0,259.0,A
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4.0,A6,regular gasoline,11.5,8.2,10.0,28.0,230.0,A
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6.0,A6,regular gasoline,14.8,9.9,12.6,22.0,290.0,A
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6.0,A6,ethanol,19.8,13.6,17.0,17.0,272.0,A
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6.0,A4,regular gasoline,17.1,12.7,15.1,19.0,347.0,A
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8.0,A4,regular gasoline,18.0,13.4,15.9,18.0,366.0,A
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8.0,A4,ethanol,23.5,17.7,20.9,14.0,334.0,A
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,regular gasoline,18.3,14.2,16.5,17.0,380.0,A
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,ethanol,23.7,18.8,21.5,13.0,344.0,A
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,regular gasoline,18.6,13.9,16.5,17.0,380.0,A
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,ethanol,23.9,18.5,21.5,13.0,344.0,A
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,regular gasoline,18.3,14.2,16.5,17.0,380.0,A
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,ethanol,25.3,19.3,22.6,12.0,362.0,A
